City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hithadhoo,MV,27.96,overcast clouds,-0.6,73.0833,Scoop Guest House
4,Kloulklubed,PW,30.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
6,Georgetown,MY,31.0,few clouds,5.4112,100.3354,Cititel Penang
8,Atuona,PF,25.98,clear sky,-9.8,-139.0333,Villa Enata
12,Bathsheba,BB,26.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
15,Souillac,MU,25.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
16,Kathu,TH,29.0,few clouds,7.9178,98.3332,Novotel Phuket Resort
17,Neiafu,TO,27.0,light rain,-18.65,-173.9833,Mystic Sands
23,Avarua,CK,29.0,few clouds,-21.2078,-159.775,Paradise Inn
24,Butaritari,KI,27.13,light rain,3.0707,172.7902,Isles Sunset Lodge
26,Vaini,TO,27.0,light rain,-21.2,-175.2,Keleti Beach Resort
29,Arraial Do Cabo,BR,26.0,clear sky,-22.9661,-42.0278,Pousada Porto Praia
32,Hobart,AU,26.11,light rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
35,Rantepao,ID,29.06,broken clouds,-2.9701,119.8978,Hotel Luta Resort
38,New Norfolk,AU,26.11,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
40,Rikitea,PF,26.06,overcast clouds,-23.1203,-134.9692,Pension Maro'i
42,Isabela,PH,31.0,few clouds,6.7085,121.9711,Isawad Resort
43,Yenagoa,NG,25.26,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
47,Dingle,PH,28.3,light rain,10.9995,122.6711,SEGAYA PROPERTY
56,Mathbaria,BD,25.18,clear sky,22.2876,89.9593,Shikdar Hotel
67,Luanda,AO,26.0,light rain,-8.8368,13.2343,EPIC SANA Luanda
68,Catuday,PH,27.18,scattered clouds,16.2923,119.8062,GResort
70,Faanui,PF,27.93,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
71,Comodoro Rivadavia,AR,25.0,clear sky,-45.8667,-67.5,Austral Hotel
81,Ponnani,IN,26.0,haze,10.767000000000001,75.9252,Rouba Residency
87,Kavaratti,IN,27.33,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
88,Saint-Philippe,RE,28.33,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
91,Kiama,AU,28.89,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
95,Biak,ID,28.22,moderate rain,-0.9131,122.8766,Penginapan Kim
98,Salinopolis,BR,26.47,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
101,Puerto Ayora,EC,25.0,few clouds,-0.7393,-90.3518,Castillo Galapagos
104,Isangel,VU,31.0,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
110,Bengkulu,ID,29.73,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
113,Vanimo,PG,28.61,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
117,Kavieng,PG,28.75,light rain,-2.5744,150.7967,Nusa Island Retreat
124,Trelew,AR,31.2,clear sky,-43.248999999999995,-65.3051,Hotel Touring Club
128,Arawa,PG,30.12,moderate rain,-6.2132,155.5367,Coastline Guest House
132,Port Blair,IN,28.24,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
142,Touros,BR,26.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
144,Atambua,ID,25.33,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
167,Saint-Joseph,RE,28.33,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
175,Karaton,ID,31.11,haze,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
176,Byron Bay,AU,29.0,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
188,Padang,ID,31.0,few clouds,-0.9492,100.3543,Mercure Padang
189,Samarinda,ID,31.16,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
191,Kota Belud,MY,30.0,few clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
195,Cabedelo,BR,26.0,few clouds,-6.9811,-34.8339,Hotel Pigalle
196,Tumbes,PE,25.76,overcast clouds,-3.5667,-80.4414,Wyndham Costa del Sol Tumbes
197,Meulaboh,ID,29.98,few clouds,4.1363,96.1285,Kost Pria
204,Punta Cardon,VE,25.61,overcast clouds,11.6581,-70.215,Bambuda hotel
206,Saint-Pierre,RE,28.33,light rain,-21.3393,55.4781,Lindsey Hôtel
214,Gizo,SB,29.43,moderate rain,-8.103,156.8419,Imagination Island
220,Mahebourg,MU,25.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
238,Kapit,MY,30.05,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
244,Alyangula,AU,25.0,heavy intensity rain,-13.8483,136.4192,Groote Eylandt Lodge
248,Yamethin,MM,30.24,clear sky,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
249,Seka,TH,28.89,clear sky,17.9285,103.9552,โรงแรมเสาวลักษณ์วิลล่า
263,Omboue,GA,25.48,overcast clouds,-1.5746,9.2618,Hotel Olako
267,Kota Kinabalu,MY,30.0,few clouds,5.9749,116.0724,Gaya Centre Hotel
269,Bambous Virieux,MU,27.78,light rain,-20.3428,57.7575,Casa Tia Villa
273,Labuhan,ID,28.08,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
274,Banjar,ID,29.0,few clouds,-8.19,114.9675,The Hamsa Resort
281,Norsup,VU,29.44,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
282,Sulangan,PH,27.43,scattered clouds,11.1373,123.7228,Maia's Beach Resort
295,Puerto Escondido,MX,26.0,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
301,Dubbo,AU,31.0,broken clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
321,Honiara,SB,29.3,clear sky,-9.4333,159.95,Heritage Park Hotel
328,Idenao,CM,25.0,few clouds,4.2475,9.0047,Moland Beach Resort
329,Nicoya,CR,25.0,clear sky,10.1483,-85.45200000000001,Guayacan Real
331,Bridgetown,BB,26.0,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
336,Kavali,IN,25.84,clear sky,14.9167,79.9833,Lic B.M Quearter's
337,Cayenne,GF,26.0,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
339,Tautira,PF,27.78,scattered clouds,-17.7333,-149.15,Pension Oaoa
356,Tabou,CI,25.38,broken clouds,4.423,-7.3528,hotêl doufoulougou
360,Kirakira,SB,29.24,broken clouds,-10.4544,161.9205,SanBiz Lodge
361,Batticaloa,LK,25.89,overcast clouds,7.7102,81.6924,Grand Star Guest House
363,Longhua,CN,28.04,clear sky,23.6137,114.1919,Huadu Hotel
364,Singaparna,ID,30.24,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
366,Mahibadhoo,MV,27.46,overcast clouds,3.7833,72.9667,Omadhoo Inn
378,Grand Gaube,MU,27.78,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
388,Aquiraz,BR,27.0,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
391,Cravo Norte,CO,27.82,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
392,Samarai,PG,29.13,broken clouds,-10.6167,150.6667,Nuli Sapi
400,Gombong,ID,31.12,light rain,-7.6072,109.5142,Grafika Hotel Dan Restoran
402,Matamoros,MX,25.0,clear sky,25.5333,-103.25,Quinta Belem
407,Cartagena,CO,26.0,scattered clouds,10.3997,-75.5144,Costa Del Sol
409,Tumpat,MY,28.0,few clouds,6.1978,102.171,Baan Tanyong B&B
412,Sola,VU,30.0,overcast clouds,-13.8833,167.55,Leumerus Bungalows
416,Sambava,MG,25.05,broken clouds,-14.2667,50.1667,Melrose
417,Grand-Lahou,CI,25.72,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
422,Sandakan,MY,26.0,light rain,5.8402,118.1179,Hotel Sandakan
423,Phangnga,TH,29.0,few clouds,8.4509,98.5298,Rattanapong Hotel
425,Mogadishu,SO,25.46,broken clouds,2.0371,45.3438,Hotel Juba
429,Banda Aceh,ID,28.83,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
434,Kampot,KH,30.0,scattered clouds,10.6167,104.1833,Two Moons Hotel
439,Ternate,ID,29.55,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
