City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Hithadhoo,MV,-0.6,73.0833,27.96,78,100,5.35,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,9.0,61,75,5.14,broken clouds
Dharchula,IN,29.85,80.5333,11.98,47,97,1.34,overcast clouds
Albany,US,42.6001,-73.9662,-3.33,64,27,1.19,scattered clouds
Kloulklubed,PW,7.0419,134.2556,30.0,70,75,4.63,broken clouds
Victoria,HK,22.2855,114.1577,23.89,49,20,3.6,few clouds
Georgetown,MY,5.4112,100.3354,31.0,54,20,1.54,few clouds
Kodiak,US,57.79,-152.4072,-4.0,80,1,3.6,clear sky
Atuona,PF,-9.8,-139.0333,25.98,74,3,4.84,clear sky
Bubaque,GW,11.2833,-15.8333,24.91,68,75,7.38,broken clouds
Cidreira,BR,-30.1811,-50.2056,20.21,76,1,7.25,clear sky
Kaitangata,NZ,-46.2817,169.8464,15.0,71,77,6.71,broken clouds
Bathsheba,BB,13.2167,-59.5167,26.0,65,40,8.23,scattered clouds
Jamestown,US,42.097,-79.2353,2.22,35,90,5.66,overcast clouds
Buritis,BR,-15.6178,-46.4233,21.9,84,84,0.93,broken clouds
Souillac,MU,-20.5167,57.5167,25.0,83,40,1.03,scattered clouds
Kathu,TH,7.9178,98.3332,29.0,65,20,5.66,few clouds
Neiafu,TO,-18.65,-173.9833,27.0,94,75,3.6,light rain
Bluff,NZ,-46.6,168.3333,14.65,73,87,5.12,overcast clouds
Chuy,UY,-33.6971,-53.4616,18.25,78,89,6.1,overcast clouds
Saint-Augustin,CA,51.226,-58.6502,1.29,95,100,6.39,overcast clouds
Portland,US,45.5234,-122.6762,7.78,89,89,1.34,overcast clouds
Ketchikan,US,55.3422,-131.6461,4.0,100,75,4.63,light rain
Avarua,CK,-21.2078,-159.775,29.0,70,20,2.06,few clouds
Butaritari,KI,3.0707,172.7902,27.13,83,97,6.16,light rain
Kapaa,US,22.0752,-159.319,20.0,60,75,5.66,broken clouds
Vaini,TO,-21.2,-175.2,27.0,94,75,2.57,light rain
Bredasdorp,ZA,-34.5322,20.0403,16.0,88,5,0.51,clear sky
Ribeira Grande,PT,38.5167,-28.7,12.9,68,51,8.52,broken clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,26.0,73,0,8.75,clear sky
Marrakesh,MA,31.6315,-8.0083,9.0,100,75,4.63,drizzle
Kushima,JP,31.4583,131.2333,13.0,44,75,2.57,broken clouds
Hobart,AU,-42.8794,147.3294,26.11,73,75,6.69,light rain
Port Alfred,ZA,-33.5906,26.891,20.0,86,65,1.34,broken clouds
Santa Maria,BR,-29.6842,-53.8069,18.0,100,0,2.11,clear sky
