City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tiksi,71.6872,128.8694,-1.03,93,100,14.79,RU,2021-02-02 21:57:41
1,Ushuaia,-54.8,-68.3,55.4,76,75,6.91,AR,2021-02-02 21:56:19
2,Caravelas,-17.7125,-39.2481,77.86,80,99,7.34,BR,2021-02-02 21:57:50
3,Kodiak,57.79,-152.4072,30.2,93,90,15.95,US,2021-02-02 21:57:50
4,Port Elizabeth,-33.918,25.5701,68.0,88,40,3.44,ZA,2021-02-02 21:57:50
5,Lompoc,34.6391,-120.4579,61.0,82,1,16.11,US,2021-02-02 21:57:50
6,Mataura,-46.1927,168.8643,64.17,71,99,3.87,NZ,2021-02-02 21:57:51
7,Khatanga,71.9667,102.5,-27.04,85,48,7.76,RU,2021-02-02 21:57:51
8,Mahebourg,-20.4081,57.7,80.6,74,75,11.5,MU,2021-02-02 21:54:37
9,Sai Buri,6.7013,101.6168,74.66,84,67,7.81,TH,2021-02-02 21:57:51
10,Monterey,36.2505,-121.2516,55.99,1,99,10.0,US,2021-02-02 21:57:51
11,Fare,-16.7,-151.0167,81.3,77,2,14.47,PF,2021-02-02 21:57:51
12,Ghanzi,-21.5667,21.7833,69.89,87,100,7.54,BW,2021-02-02 21:57:51
13,Mackay,-21.15,149.2,80.01,88,57,5.75,AU,2021-02-02 21:57:51
14,Hasaki,35.7333,140.8333,26.6,93,20,3.44,JP,2021-02-02 21:57:51
15,Port Alfred,-33.5906,26.891,66.0,91,8,11.45,ZA,2021-02-02 21:57:51
16,Akureyri,65.6835,-18.0878,8.6,72,0,6.91,IS,2021-02-02 21:57:51
17,Lasa,46.6166,10.7002,34.0,93,0,2.3,IT,2021-02-02 21:57:52
18,Kapaa,22.0752,-159.319,77.0,83,40,16.11,US,2021-02-02 21:57:16
19,Butaritari,3.0707,172.7902,81.77,84,92,19.17,KI,2021-02-02 21:57:52
20,Inuvik,68.3499,-133.7218,-31.0,68,100,1.14,CA,2021-02-02 21:53:25
21,Tasiilaq,65.6145,-37.6368,19.4,86,90,3.44,GL,2021-02-02 21:57:16
22,Rockport,28.0206,-97.0544,68.0,42,1,9.22,US,2021-02-02 21:57:52
23,Bluff,-46.6,168.3333,59.99,86,96,14.72,NZ,2021-02-02 21:57:05
24,Yellowknife,62.456,-114.3525,-11.0,70,90,13.8,CA,2021-02-02 21:57:52
25,Albany,42.6001,-73.9662,28.0,88,100,1.99,US,2021-02-02 21:56:23
26,Tequila,20.8833,-103.8333,84.99,29,94,1.99,MX,2021-02-02 21:57:53
27,Jamestown,42.097,-79.2353,25.0,86,90,14.97,US,2021-02-02 21:55:35
28,Qaanaaq,77.484,-69.3632,-11.22,84,100,0.51,GL,2021-02-02 21:57:53
29,Kruisfontein,-34.0033,24.7314,66.0,86,0,1.01,ZA,2021-02-02 21:57:53
30,New Norfolk,-42.7826,147.0587,59.0,61,98,1.01,AU,2021-02-02 21:56:25
31,Petropavlovsk-Kamchatskiy,53.0452,158.6483,15.8,73,75,4.47,RU,2021-02-02 21:54:42
32,Bathsheba,13.2167,-59.5167,82.4,57,20,18.41,BB,2021-02-02 21:57:24
33,Talnakh,69.4865,88.3972,-10.07,83,100,5.97,RU,2021-02-02 21:57:53
34,Punta Arenas,-53.15,-70.9167,60.8,67,75,18.41,CL,2021-02-02 21:57:14
35,Coihaique,-45.5752,-72.0662,78.8,38,0,6.91,CL,2021-02-02 21:57:54
36,Buala,-8.145,159.5921,80.58,84,91,11.43,SB,2021-02-02 21:57:54
